License No.,Business Name,DBA,License Type,City,County,Expiration
GAAA-VJBD-S89V,W F Sweet Leaf LLC,WF Sweetleaf LLC,Grower,Webbers Falls,Muskogee,11/21/2023
DAAA-XDNL-ET0E,KEDARNATH LLC,OKC 10 DISPENSARY,Dispensary,OKLAHOMA CITY,Oklahoma,5/12/2024
GAAA-MWCI-XRUW,Sky High Growery Inc,Sky High Growery Inc,Grower,GUTHRIE,Logan,11/7/2022
DAAA-TV2E-X79A,Hydropolis LLC,Hydropolis LLC,Dispensary,SAND SPRINGS,Tulsa,12/11/2022
DAAA-GDSF-HLF0,Morgan Road Medical,Morgan Road RX,Dispensary,OKLAHOMA CITY,Canadian,10/30/2023
GAAA-RKY6-FSB9,OAKEY DOKEY ACRES LLC,OAKEY DOKEY ACRES LLC,Grower,DAVIS,Murray,1/12/2024
DAAA-V1XJ-AA8M,DREAM ROOTZ LLC,Envy Apothercary,Dispensary,EDMOND,Oklahoma,10/31/2023
DAAA-VJWS-G0ZQ,The Loud House Dispensary L.L.C.,The Loud House Dispensary L.L.C.,Dispensary,WAGONER,Wagoner,10/9/2023
GAAA-LM0P-VXAY,GREEN LEAF MOUNTAIN LLC,GREEN LEAF MOUNTAIN LLC,Grower,HEAVENER,Le Flore,6/14/2023
GAAA-NJDY-BOYM,"Turkey Creek Investments, LLC",Phat Quail Farms,Grower,Paden,Okfuskee,3/15/2024
WAAA-NKR2-CRLO,Enso Solutions LLC,Enso Solutions LLC,Waste Disposal Facility,OKLAHOMA CITY,Oklahoma,4/25/2023
PAAA-4KYG-QHQC,Zenoa LLC,Zenoa Canna,Processor,OKLAHOMA CITY,Oklahoma,11/2/2023
DAAA-4JNB-ASJD,420 Farmacy LLC,420 Farmacy LLC,Dispensary,ELK CITY,Beckham,5/5/2024
GAAA-ZRS0-DOHF,Dragon Tree LLC,Dragon Tree LLC,Grower,CANUTE,Washita,5/16/2023
PAAA-NY2W-IU7T,"T&C Holdings, LLC",'64 FARMS,Processor,ADA,Pontotoc,3/3/2023
PAAA-G7Z0-7IUL,"ALCHEMA United Labs, LLC","ALCHEMA United Labs, LLC",Processor,SEMINOLE,Seminole,4/25/2023
DAAA-HVU1-0WK8,WEREWOLF FARM LLC,WEREWOLF FARM LLC,Dispensary,LAWTON,Comanche,3/3/2024
GAAA-EEKL-HUUT,The Station Cannabis Company LLP,The Station Cannabis Company - Grow,Grower,RED OAK,Latimer,3/1/2023
GAAA-XACJ-PNQJ,"RandB Select Growers, LLC","RandB Select Growers, LLC",Grower,GUTHRIE,Oklahoma,11/15/2023
GAAA-PL7K-HF9O,DV 272 LLC,DV productions,Grower,OKLAHOMA CITY,Oklahoma,10/3/2023
DAAA-EYRS-6UHT,Chronic Solutions LLC,Chronic Solutions LLC,Dispensary,Norman,Cleveland,5/16/2024
